provider,model,seed,condition_type,strategy,random_RSI,final_RSI,delta_RSI,random_GBC,final_GBC,delta_GBC,random_CAI,final_CAI,delta_CAI,random_SII,final_SII,delta_SII,run_dir
groq,llama-3.3-70b-versatile,1,neutral,boss,0.41876200030737376,0.4537372934506421,0.03497529314326836,0.37152167931658164,0.3738013580635089,0.0022796787469272495,0.058333333333333376,0.005555555555555635,-0.05277777777777774,0.04656404059511173,0.027777777777777755,-0.018786262817333976,runs/groq/llama-3.3-70b-versatile_neutral_boss_seed1_1778409674
groq,llama-3.3-70b-versatile,1,neutral,control,0.41138771092949056,0.4081452551321324,-0.003242455797358157,0.244598390641491,0.27043898412589457,0.025840593484403568,0.058333333333333376,0.0472222222222222,-0.011111111111111176,0.05562495665139106,0.07997877804937759,0.024353821397986523,runs/groq/llama-3.3-70b-versatile_neutral_control_seed1_1778411245
groq,llama-3.3-70b-versatile,2,halo,boss,0.4458120698193311,0.4948291762476688,0.04901710642833773,0.5007246467385995,0.5007246467385995,0.0,0.07222222222222226,0.1388888888888889,0.06666666666666664,0.09043789220055388,0.1072955995323776,0.01685770733182372,runs/groq/llama-3.3-70b-versatile_halo-style_polite_structured_boss_seed2_1778417734
groq,llama-3.3-70b-versatile,2,halo,control,0.4412551326348041,0.45636957289012536,0.015114440255321271,0.42434270565885246,0.3479607645791053,-0.07638194107974716,0.10277777777777776,0.08333333333333333,-0.01944444444444443,0.09233761188108144,0.0667823071120628,-0.02555530476901864,runs/groq/llama-3.3-70b-versatile_halo-style_polite_structured_control_seed2_1778417928
groq,llama-3.3-70b-versatile,2,neutral,boss,0.45245390520092427,0.47908691711613394,0.02663301191520967,0.5007246467385995,0.5007246467385995,0.0,0.030555555555555496,0.011111111111111072,-0.019444444444444424,0.02169513798862955,0.01756820922315766,-0.004126928765471889,runs/groq/llama-3.3-70b-versatile_neutral_boss_seed2_1778417382
groq,llama-3.3-70b-versatile,2,neutral,control,0.4631404169556117,0.43969292460041504,-0.023447492355196664,0.5512659943339431,0.3479607645791053,-0.20330522975483778,0.125,0.0,-0.125,0.10733155047978699,0.019641855032959652,-0.08768969544682734,runs/groq/llama-3.3-70b-versatile_neutral_control_seed2_1778417558
groq,llama-3.3-70b-versatile,3,halo,boss,0.43639446913807306,0.4855198795135754,0.04912541037550233,0.3738013580635089,0.450183299143256,0.0763819410797471,0.0,0.08611111111111115,0.08611111111111115,0.051068823085695055,0.06460946305340563,0.013540639967710578,runs/groq/llama-3.3-70b-versatile_halo-style_polite_structured_boss_seed3_1778421925
groq,llama-3.3-70b-versatile,3,halo,control,0.4002854592970152,0.43428162658813196,0.03399616729111676,0.25093224305603157,0.3209803317212381,0.07004808866520651,0.05833333333333327,0.05000000000000002,-0.008333333333333255,0.04347909956249586,0.06538112386633234,0.021902024303836476,runs/groq/llama-3.3-70b-versatile_halo-style_polite_structured_control_seed3_1778422115
groq,llama-3.3-70b-versatile,3,neutral,boss,0.45731252000583983,0.5019544510006662,0.04464193099482633,0.47488405325419597,0.5007246467385995,0.02584059348440354,0.05000000000000002,0.011111111111111072,-0.038888888888888945,0.03726779962499651,0.0087841046115788,-0.028483695013417708,runs/groq/llama-3.3-70b-versatile_neutral_boss_seed3_1778421560
groq,llama-3.3-70b-versatile,3,neutral,control,0.4564197053440022,0.4313312001217124,-0.025088505222289836,0.3815335610395687,0.44790362039632875,0.06637005935676005,0.0472222222222222,0.05000000000000002,0.0027777777777778165,0.04722222222222219,0.05583264233956049,0.0086104201173383,runs/groq/llama-3.3-70b-versatile_neutral_control_seed3_1778421752
groq,llama-3.3-70b-versatile,4,halo,boss,0.4656534390796694,0.39583139461026556,-0.06982204446940382,0.5007246467385995,0.20039089546068806,-0.30033375127791145,0.05833333333333327,0.08888888888888886,0.030555555555555593,0.0485118033238138,0.0633430791721743,0.014831275848360498,runs/groq/llama-3.3-70b-versatile_halo-style_polite_structured_boss_seed4_1778503019
groq,llama-3.3-70b-versatile,4,halo,control,0.4184164614865901,0.4184449515989954,2.8490112405299417e-05,0.39736227280098524,0.310087121812843,-0.08727515098814226,0.027777777777777776,0.03611111111111103,0.008333333333333255,0.062112999374994156,0.06966631224435799,0.0075533128693638305,runs/groq/llama-3.3-70b-versatile_halo-style_polite_structured_control_seed4_1778503223
groq,llama-3.3-70b-versatile,4,neutral,boss,0.47502138691059187,0.5044946509925833,0.029473264081991413,0.47488405325419597,0.47488405325419597,0.0,0.02499999999999996,0.0027777777777778173,-0.022222222222222143,0.034359213546813816,0.025609845714702477,-0.008749367832111339,runs/groq/llama-3.3-70b-versatile_neutral_boss_seed4_1778502645
groq,llama-3.3-70b-versatile,4,neutral,control,0.4497554567830726,0.4616154818595158,0.011860025076443181,0.4243427056588524,0.5512659943339431,0.12692328867509067,0.08333333333333333,0.0027777777777778173,-0.0805555555555555,0.06009252125773316,0.002777777777777817,-0.05731474347995534,runs/groq/llama-3.3-70b-versatile_neutral_control_seed4_1778502841
ollama,qwen2.5:7b-instruct,0,halo,boss,0.37635168839935174,0.4146341042480423,0.038282415848690576,0.3146646316892891,0.44790362039632875,0.13323898870703965,0.02499999999999996,0.03333333333333331,0.008333333333333352,0.034359213546813816,0.06712803318663649,0.03276881963982267,runs/ollama/qwen2.5-7b-instruct_halo-style_polite_structured_boss_seed0_1778429600
ollama,qwen2.5:7b-instruct,0,halo,control,0.4077253557056888,0.38172851365178756,-0.025996842053901237,0.5204164863280503,0.22854056897353262,-0.2918759173545177,0.03333333333333331,0.01111111111111117,-0.022222222222222143,0.03621779114001473,0.014163943093313279,-0.02205384804670145,runs/ollama/qwen2.5-7b-instruct_halo-style_polite_structured_control_seed0_1778431346
ollama,qwen2.5:7b-instruct,0,neutral,boss,0.398523842513697,0.3976038674315863,-0.0009199750821106689,0.3206270572154195,0.29425841005142644,-0.026368647163993064,0.052777777777777736,0.05555555555555555,0.0027777777777778165,0.06167667586437364,0.08434570250382764,0.022669026639454,runs/ollama/qwen2.5-7b-instruct_neutral_boss_seed0_1778426690
ollama,qwen2.5:7b-instruct,0,neutral,control,0.43040129594727944,0.3900746418289734,-0.04032665411830605,0.3062914593332853,0.13960587844581623,-0.16668558088746904,0.02500000000000006,0.027777777777777776,0.002777777777777716,0.05218970618904428,0.020030840419244394,-0.032158865769799885,runs/ollama/qwen2.5-7b-instruct_neutral_control_seed0_1778428317
ollama,qwen2.5:7b-instruct,1,halo,boss,0.4055521307470678,0.3730944885051011,-0.03245764224196673,0.4825439907103371,0.14017747769128475,-0.34236651301905235,0.008333333333333352,0.02499999999999996,0.016666666666666607,0.03004626062886658,0.03778186252426509,0.0077356018953985105,runs/ollama/qwen2.5-7b-instruct_halo-style_polite_structured_boss_seed1_1778435725
ollama,qwen2.5:7b-instruct,1,halo,control,0.378840285205167,0.38578016284989974,0.00693987764473275,0.2890418992125052,0.25097289323646743,-0.038069005976037795,0.02222222222222224,0.01111111111111117,-0.01111111111111107,0.01619708859679251,0.055555555555555566,0.03935846695876306,runs/ollama/qwen2.5-7b-instruct_halo-style_polite_structured_control_seed1_1778437432
